"dataset_code","time","geo","value","unit","obs_status","method"
"turnover_recorded_music",2011-01-01,"PL",188.9,"EUR","A","A"
"turnover_recorded_music",2011-01-01,"PT",64.2,"EUR","A","A"
"turnover_recorded_music",2011-01-01,"RO",68.1,"EUR","A","A"
"turnover_recorded_music",2011-01-01,"RS",3.3,"EUR","E","nocb"
"turnover_recorded_music",2011-01-01,"SE",362.7,"EUR","E","nocb"
"turnover_recorded_music",2011-01-01,"SI",29.6,"EUR","A","A"
"turnover_recorded_music",2011-01-01,"SK",5.5,"EUR","A","A"
"turnover_recorded_music",2011-01-01,"UK",859.7,"EUR","A","A"
"turnover_recorded_music",2011-01-01,"EU27_2007",8394.4,"EUR","E","locf"
"turnover_recorded_music",2011-01-01,"TR",50,"EUR","E","locf"
"turnover_recorded_music",2012-01-01,"AT",81.1,"EUR","A","A"
"turnover_recorded_music",2012-01-01,"BA",10.7,"EUR","A","A"
"turnover_recorded_music",2012-01-01,"BE",168.6,"EUR","A","A"
"turnover_recorded_music",2012-01-01,"BG",13.5,"EUR","A","A"
"turnover_recorded_music",2012-01-01,"CH",19.1,"EUR","E","locf"
"turnover_recorded_music",2012-01-01,"CY",13.4,"EUR","A","A"
"turnover_recorded_music",2012-01-01,"CZ",36.6,"EUR","A","A"
"turnover_recorded_music",2012-01-01,"DE",2489.5,"EUR","A","A"
"turnover_recorded_music",2012-01-01,"DK",64.2,"EUR","A","A"
"turnover_recorded_music",2012-01-01,"EE",4.7,"EUR","E","approx"
"turnover_recorded_music",2012-01-01,"EL",83.6,"EUR","A","A"
"turnover_recorded_music",2012-01-01,"ES",615.8,"EUR","A","A"
"turnover_recorded_music",2012-01-01,"EU27_2020",7111.8,"EUR","A","A"
"turnover_recorded_music",2012-01-01,"EU28",8163.2,"EUR","A","A"
"turnover_recorded_music",2012-01-01,"FI",59,"EUR","A","A"
"turnover_recorded_music",2012-01-01,"FR",1261.3,"EUR","A","A"
"turnover_recorded_music",2012-01-01,"HR",27.1,"EUR","A","A"
"turnover_recorded_music",2012-01-01,"HU",27.9,"EUR","A","A"
"turnover_recorded_music",2012-01-01,"IE",NA,"EUR","O","O"
"turnover_recorded_music",2012-01-01,"IS",1.8,"EUR","E","nocb"
"turnover_recorded_music",2012-01-01,"IT",434.6,"EUR","A","A"
"turnover_recorded_music",2012-01-01,"LT",6.7,"EUR","A","A"
"turnover_recorded_music",2012-01-01,"LU",NA,"EUR","O","O"
"turnover_recorded_music",2012-01-01,"LV",6.5,"EUR","A","A"
"turnover_recorded_music",2012-01-01,"MK",2.1,"EUR","A","A"
"turnover_recorded_music",2012-01-01,"MT",1.6,"EUR","E","locf"
"turnover_recorded_music",2012-01-01,"NL",NA,"EUR","O","O"
"turnover_recorded_music",2012-01-01,"NO",102.2,"EUR","A","A"
"turnover_recorded_music",2012-01-01,"PL",191.8,"EUR","A","A"
"turnover_recorded_music",2012-01-01,"PT",57.9,"EUR","A","A"
"turnover_recorded_music",2012-01-01,"RO",66.2,"EUR","A","A"
"turnover_recorded_music",2012-01-01,"RS",3.3,"EUR","E","nocb"
"turnover_recorded_music",2012-01-01,"SE",362.7,"EUR","E","nocb"
"turnover_recorded_music",2012-01-01,"SI",29.1,"EUR","A","A"
"turnover_recorded_music",2012-01-01,"SK",8.3,"EUR","A","A"
"turnover_recorded_music",2012-01-01,"UK",1051.4,"EUR","A","A"
"turnover_recorded_music",2012-01-01,"EU27_2007",8394.4,"EUR","E","locf"
"turnover_recorded_music",2012-01-01,"TR",50,"EUR","E","locf"
"turnover_recorded_music",2013-01-01,"AT",80,"EUR","A","A"
"turnover_recorded_music",2013-01-01,"BA",8,"EUR","A","A"
"turnover_recorded_music",2013-01-01,"BE",107.5,"EUR","A","A"
"turnover_recorded_music",2013-01-01,"BG",16,"EUR","A","A"
"turnover_recorded_music",2013-01-01,"CH",19.1,"EUR","E","locf"
"turnover_recorded_music",2013-01-01,"CY",8.6,"EUR","A","A"
"turnover_recorded_music",2013-01-01,"CZ",43.4,"EUR","A","A"
"turnover_recorded_music",2013-01-01,"DE",2543.7,"EUR","A","A"
"turnover_recorded_music",2013-01-01,"DK",68.8,"EUR","A","A"
"turnover_recorded_music",2013-01-01,"EE",5.2,"EUR","E","approx"
"turnover_recorded_music",2013-01-01,"EL",54.9,"EUR","A","A"
"turnover_recorded_music",2013-01-01,"ES",528.2,"EUR","A","A"
"turnover_recorded_music",2013-01-01,"EU27_2020",6978.9,"EUR","A","A"
"turnover_recorded_music",2013-01-01,"EU28",7969.8,"EUR","A","A"
"turnover_recorded_music",2013-01-01,"FI",57.25,"EUR","E","approx"
"turnover_recorded_music",2013-01-01,"FR",1294.5,"EUR","A","A"
"turnover_recorded_music",2013-01-01,"HR",31.3,"EUR","A","A"
"turnover_recorded_music",2013-01-01,"HU",40.1,"EUR","A","A"
"turnover_recorded_music",2013-01-01,"IE",NA,"EUR","O","O"
"turnover_recorded_music",2013-01-01,"IS",1.8,"EUR","E","nocb"
"turnover_recorded_music",2013-01-01,"IT",397.5,"EUR","A","A"
"turnover_recorded_music",2013-01-01,"LT",6.2,"EUR","A","A"
"turnover_recorded_music",2013-01-01,"LU",NA,"EUR","O","O"
"turnover_recorded_music",2013-01-01,"LV",5.7,"EUR","A","A"
"turnover_recorded_music",2013-01-01,"MK",2.4,"EUR","A","A"
"turnover_recorded_music",2013-01-01,"MT",1.6,"EUR","E","locf"
"turnover_recorded_music",2013-01-01,"NL",NA,"EUR","O","O"
"turnover_recorded_music",2013-01-01,"NO",98.8,"EUR","A","A"
"turnover_recorded_music",2013-01-01,"PL",206.8,"EUR","A","A"
"turnover_recorded_music",2013-01-01,"PT",52.6,"EUR","A","A"
"turnover_recorded_music",2013-01-01,"RO",67.9,"EUR","A","A"
"turnover_recorded_music",2013-01-01,"RS",3.3,"EUR","E","nocb"
"turnover_recorded_music",2013-01-01,"SE",362.7,"EUR","E","nocb"
"turnover_recorded_music",2013-01-01,"SI",27.5,"EUR","A","A"
"turnover_recorded_music",2013-01-01,"SK",6.4,"EUR","A","A"
"turnover_recorded_music",2013-01-01,"UK",990.8,"EUR","A","A"
"turnover_recorded_music",2013-01-01,"EU27_2007",8394.4,"EUR","E","locf"
"turnover_recorded_music",2013-01-01,"TR",50,"EUR","E","locf"
"turnover_recorded_music",2014-01-01,"AT",80.3,"EUR","A","A"
"turnover_recorded_music",2014-01-01,"BA",6.8,"EUR","A","A"
