"dataset_code","time","geo","value","unit","obs_status","method","freq","group"
"ind_cloud_storage_files",2016-01-01,"LU",42,"PC_IND","A","A","A","Benelux"
"ind_cloud_storage_files",2016-01-01,"LV",22,"PC_IND","A","A","A","Baltic"
"ind_cloud_storage_files",2016-01-01,"ME",24,"PC_IND","A","nocb","A","Southeast"
"ind_cloud_storage_files",2016-01-01,"MK",22,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2016-01-01,"MT",28,"PC_IND","A","A","A","South"
"ind_cloud_storage_files",2016-01-01,"NL",43,"PC_IND","A","A","A","Benelux"
"ind_cloud_storage_files",2016-01-01,"NO",45,"PC_IND","A","A","A","Nordic"
"ind_cloud_storage_files",2016-01-01,"PL",16,"PC_IND","A","A","A","Visegrad"
"ind_cloud_storage_files",2016-01-01,"PT",24,"PC_IND","A","A","A","South"
"ind_cloud_storage_files",2016-01-01,"RO",17,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2016-01-01,"RS",12,"PC_IND","A","approx","A","Southeast"
"ind_cloud_storage_files",2016-01-01,"SE",45,"PC_IND","A","A","A","Nordic"
"ind_cloud_storage_files",2016-01-01,"SI",24,"PC_IND","A","A","A","Central"
"ind_cloud_storage_files",2016-01-01,"SK",23,"PC_IND","A","A","A","Visegrad"
"ind_cloud_storage_files",2016-01-01,"SK",23,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2016-01-01,"TR",8,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2016-01-01,"UK",43,"PC_IND","A","A","A","West"
"ind_cloud_storage_files",2016-01-01,"XK",26,"PC_IND","A","nocb","A","Southeast"
"ind_cloud_storage_files",2016-01-01,"AL",16,"PC_IND","A","nocb","A","Southeast"
"ind_cloud_storage_files",2016-01-01,"CH",36.3333333333333,"PC_IND","A","approx","A","Central"
"ind_cloud_storage_files",2016-01-01,"EU28",26,"PC_IND","A","A","A","aggregate"
"ind_cloud_storage_files",2016-01-01,"FR",21,"PC_IND","A","A","A","West"
"ind_cloud_storage_files",2016-01-01,"EU15",28,"PC_IND","A","A","A","aggregate"
"ind_cloud_storage_files",2016-01-01,"EU27_2007",26,"PC_IND","A","A","A","aggregate"
"ind_cloud_storage_files",2017-01-01,"AT",27,"PC_IND","A","A","A","Central"
"ind_cloud_storage_files",2017-01-01,"BA",7,"PC_IND","A","nocb","A","Southeast"
"ind_cloud_storage_files",2017-01-01,"BE",33,"PC_IND","A","A","A","Benelux"
"ind_cloud_storage_files",2017-01-01,"BG",18,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2017-01-01,"CY",32,"PC_IND","A","A","A","South"
"ind_cloud_storage_files",2017-01-01,"CZ",24,"PC_IND","A","A","A","Visegrad"
"ind_cloud_storage_files",2017-01-01,"DE",27,"PC_IND","A","A","A","Central"
"ind_cloud_storage_files",2017-01-01,"DK",55,"PC_IND","A","A","A","Nordic"
"ind_cloud_storage_files",2017-01-01,"EA",28,"PC_IND","A","A","A","aggregate"
"ind_cloud_storage_files",2017-01-01,"EE",30,"PC_IND","A","A","A","Baltic"
"ind_cloud_storage_files",2017-01-01,"EL",20,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2017-01-01,"ES",34,"PC_IND","A","A","A","South"
"ind_cloud_storage_files",2017-01-01,"EU27_2020",27,"PC_IND","A","A","A","aggregate"
"ind_cloud_storage_files",2017-01-01,"FI",37,"PC_IND","A","A","A","Nordic"
"ind_cloud_storage_files",2017-01-01,"HR",16,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2017-01-01,"HU",25,"PC_IND","A","A","A","Visegrad"
"ind_cloud_storage_files",2017-01-01,"IE",42,"PC_IND","A","A","A","West"
"ind_cloud_storage_files",2017-01-01,"IS",59,"PC_IND","A","A","A","Nordic"
"ind_cloud_storage_files",2017-01-01,"IT",23,"PC_IND","A","A","A","South"
"ind_cloud_storage_files",2017-01-01,"LT",25,"PC_IND","A","A","A","Baltic"
"ind_cloud_storage_files",2017-01-01,"LU",47,"PC_IND","A","A","A","Benelux"
"ind_cloud_storage_files",2017-01-01,"LV",25,"PC_IND","A","A","A","Baltic"
"ind_cloud_storage_files",2017-01-01,"ME",24,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2017-01-01,"MK",23,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2017-01-01,"MT",36,"PC_IND","A","A","A","South"
"ind_cloud_storage_files",2017-01-01,"NL",49,"PC_IND","A","A","A","Benelux"
"ind_cloud_storage_files",2017-01-01,"NO",50,"PC_IND","A","A","A","Nordic"
"ind_cloud_storage_files",2017-01-01,"PL",15,"PC_IND","A","A","A","Visegrad"
"ind_cloud_storage_files",2017-01-01,"PT",28,"PC_IND","A","A","A","South"
"ind_cloud_storage_files",2017-01-01,"RO",23,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2017-01-01,"RS",14,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2017-01-01,"SE",57,"PC_IND","A","A","A","Nordic"
"ind_cloud_storage_files",2017-01-01,"SI",26,"PC_IND","A","A","A","Central"
"ind_cloud_storage_files",2017-01-01,"SK",25,"PC_IND","A","A","A","Visegrad"
"ind_cloud_storage_files",2017-01-01,"SK",25,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2017-01-01,"TR",10,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2017-01-01,"UK",46,"PC_IND","A","A","A","West"
"ind_cloud_storage_files",2017-01-01,"XK",26,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2017-01-01,"AL",16,"PC_IND","A","nocb","A","Southeast"
"ind_cloud_storage_files",2017-01-01,"CH",39,"PC_IND","A","A","A","Central"
"ind_cloud_storage_files",2017-01-01,"EU28",30,"PC_IND","A","A","A","aggregate"
"ind_cloud_storage_files",2017-01-01,"FR",23,"PC_IND","A","A","A","West"
"ind_cloud_storage_files",2017-01-01,"EU15",32,"PC_IND","A","A","A","aggregate"
"ind_cloud_storage_files",2017-01-01,"EU27_2007",30,"PC_IND","A","A","A","aggregate"
"ind_cloud_storage_files",2018-01-01,"AT",26,"PC_IND","A","A","A","Central"
"ind_cloud_storage_files",2018-01-01,"BA",7,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2018-01-01,"BE",34,"PC_IND","A","A","A","Benelux"
"ind_cloud_storage_files",2018-01-01,"BG",18,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2018-01-01,"CY",32,"PC_IND","A","A","A","South"
"ind_cloud_storage_files",2018-01-01,"CZ",21,"PC_IND","A","A","A","Visegrad"
"ind_cloud_storage_files",2018-01-01,"DE",28,"PC_IND","A","A","A","Central"
"ind_cloud_storage_files",2018-01-01,"DK",61,"PC_IND","A","A","A","Nordic"
"ind_cloud_storage_files",2018-01-01,"EA",30,"PC_IND","A","A","A","aggregate"
"ind_cloud_storage_files",2018-01-01,"EE",36,"PC_IND","A","A","A","Baltic"
"ind_cloud_storage_files",2018-01-01,"EL",22,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2018-01-01,"ES",35,"PC_IND","A","A","A","South"
"ind_cloud_storage_files",2018-01-01,"EU27_2020",29,"PC_IND","A","A","A","aggregate"
"ind_cloud_storage_files",2018-01-01,"FI",46,"PC_IND","A","A","A","Nordic"
"ind_cloud_storage_files",2018-01-01,"HR",23,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2018-01-01,"HU",33,"PC_IND","A","A","A","Visegrad"
"ind_cloud_storage_files",2018-01-01,"IE",40,"PC_IND","A","A","A","West"
"ind_cloud_storage_files",2018-01-01,"IS",60,"PC_IND","A","A","A","Nordic"
"ind_cloud_storage_files",2018-01-01,"IT",25,"PC_IND","A","A","A","South"
"ind_cloud_storage_files",2018-01-01,"LT",29,"PC_IND","A","A","A","Baltic"
"ind_cloud_storage_files",2018-01-01,"LU",45,"PC_IND","A","A","A","Benelux"
"ind_cloud_storage_files",2018-01-01,"LV",26,"PC_IND","A","A","A","Baltic"
"ind_cloud_storage_files",2018-01-01,"ME",23,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2018-01-01,"MK",31,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2018-01-01,"MT",38,"PC_IND","A","A","A","South"
"ind_cloud_storage_files",2018-01-01,"NL",48,"PC_IND","A","A","A","Benelux"
"ind_cloud_storage_files",2018-01-01,"NO",55,"PC_IND","A","A","A","Nordic"
"ind_cloud_storage_files",2018-01-01,"PL",16,"PC_IND","A","A","A","Visegrad"
"ind_cloud_storage_files",2018-01-01,"PT",27,"PC_IND","A","A","A","South"
"ind_cloud_storage_files",2018-01-01,"RO",22,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2018-01-01,"RS",16,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2018-01-01,"SE",59,"PC_IND","A","A","A","Nordic"
"ind_cloud_storage_files",2018-01-01,"SI",24,"PC_IND","A","A","A","Central"
"ind_cloud_storage_files",2018-01-01,"SK",28,"PC_IND","A","A","A","Visegrad"
"ind_cloud_storage_files",2018-01-01,"SK",28,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2018-01-01,"TR",16,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2018-01-01,"UK",47,"PC_IND","A","A","A","West"
"ind_cloud_storage_files",2018-01-01,"XK",32,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2018-01-01,"AL",16,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2018-01-01,"CH",42.5,"PC_IND","A","approx","A","Central"
"ind_cloud_storage_files",2018-01-01,"EU28",31,"PC_IND","A","A","A","aggregate"
"ind_cloud_storage_files",2018-01-01,"FR",27,"PC_IND","A","A","A","West"
"ind_cloud_storage_files",2018-01-01,"EU15",34,"PC_IND","A","A","A","aggregate"
"ind_cloud_storage_files",2018-01-01,"EU27_2007",31,"PC_IND","A","A","A","aggregate"
"ind_cloud_storage_files",2019-01-01,"AT",32,"PC_IND","A","A","A","Central"
"ind_cloud_storage_files",2019-01-01,"BA",11,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2019-01-01,"BE",39,"PC_IND","A","A","A","Benelux"
"ind_cloud_storage_files",2019-01-01,"BG",18,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2019-01-01,"CY",41,"PC_IND","A","A","A","South"
"ind_cloud_storage_files",2019-01-01,"CZ",24,"PC_IND","A","A","A","Visegrad"
"ind_cloud_storage_files",2019-01-01,"DE",31,"PC_IND","A","A","A","Central"
